Date,Open,High,Low,Close,Adj Close,Volume
2016-06-08,235.000000,235.500000,228.000000,230.000000,196.254105,12407000
2016-06-13,225.500000,227.000000,220.000000,220.000000,187.721313,11112000
2016-06-14,220.000000,227.000000,218.500000,225.000000,191.987701,11772000
2016-06-15,225.000000,232.000000,225.000000,230.500000,196.680740,9223000
2016-06-16,231.000000,231.000000,226.000000,226.000000,192.840988,6747000
2016-06-17,228.000000,229.000000,226.500000,227.000000,193.694275,7338000
2016-06-20,229.500000,229.500000,226.500000,227.500000,194.120911,4113000
2016-06-21,228.500000,231.500000,227.500000,229.500000,195.827454,6910000
2016-06-22,232.000000,232.000000,228.500000,229.000000,195.400818,4715000
2016-06-23,229.000000,229.500000,227.000000,228.000000,194.547546,2393000
2016-06-24,228.500000,229.000000,218.000000,223.500000,190.707779,9056000
2016-06-27,223.500000,229.000000,222.000000,226.500000,193.267624,4496000
2016-06-28,223.500000,229.000000,221.500000,229.000000,195.400818,6877000
2016-06-29,230.000000,241.500000,229.000000,237.500000,202.653671,15035000
2016-06-30,242.500000,244.500000,240.000000,244.000000,208.199982,19654000
2016-07-01,246.500000,247.500000,243.000000,245.000000,209.053268,14239000
2016-07-04,245.500000,257.000000,245.500000,255.500000,218.012726,16697000
2016-07-05,254.000000,254.000000,245.000000,245.000000,209.053268,10917000
2016-07-06,240.000000,242.000000,237.000000,237.000000,202.227051,10624000
2016-07-07,239.500000,241.500000,237.500000,238.000000,203.080322,5129000
2016-07-08,238.000000,238.000000,238.000000,238.000000,203.080322,0
2016-07-11,247.000000,247.500000,244.000000,247.000000,210.759827,9885000
2016-07-12,249.000000,250.500000,247.500000,248.000000,211.613113,8562000
2016-07-13,250.000000,250.000000,245.500000,247.000000,210.759827,6293000
2016-07-14,247.500000,247.500000,245.000000,246.000000,209.906570,12779000
2016-07-15,237.000000,240.000000,236.000000,239.500000,213.926056,13661000
2016-07-18,240.500000,241.500000,238.500000,240.000000,214.372650,5036000
2016-07-19,241.000000,241.000000,238.000000,240.000000,214.372650,4953000
2016-07-20,239.000000,239.000000,236.000000,238.000000,212.586212,7431000
2016-07-21,239.500000,240.500000,234.500000,235.500000,210.353165,8344000
2016-07-22,237.500000,238.000000,235.000000,236.000000,210.799774,5202000
2016-07-25,238.000000,238.500000,234.500000,236.000000,210.799774,3316000
2016-07-26,235.500000,241.000000,234.000000,241.000000,215.265869,8590000
2016-07-27,246.000000,246.000000,239.000000,240.000000,214.372650,14289000
2016-07-28,240.000000,244.000000,238.000000,244.000000,217.945526,6107000
2016-07-29,245.000000,246.000000,242.000000,243.500000,217.498917,6177000
2016-08-01,245.500000,249.500000,243.500000,249.000000,222.411636,7985000
2016-08-02,249.500000,251.000000,247.000000,250.000000,223.304855,8737000
2016-08-03,246.000000,249.000000,245.500000,249.000000,222.411636,5517000
2016-08-04,251.000000,251.000000,239.500000,242.500000,216.605713,14502000
2016-08-05,242.500000,249.000000,242.500000,249.000000,222.411636,8164000
2016-08-08,251.000000,251.000000,248.000000,248.500000,221.965042,5768000
2016-08-09,249.500000,250.000000,248.000000,250.000000,223.304855,3950000
2016-08-10,251.000000,251.000000,248.500000,250.000000,223.304855,3066000
2016-08-11,250.500000,250.500000,245.000000,248.500000,221.965042,3896000
2016-08-12,250.000000,251.000000,247.500000,249.000000,222.411636,2999000
2016-08-15,250.000000,250.500000,247.500000,249.000000,222.411636,2509000
2016-08-16,249.500000,249.500000,245.500000,249.500000,222.858246,3809000
2016-08-17,249.500000,253.500000,249.000000,250.500000,223.751465,8736000
2016-08-18,251.000000,252.000000,249.000000,250.000000,223.304855,3773000
2016-08-19,250.000000,250.000000,245.000000,245.000000,218.838745,5360000
2016-08-22,245.000000,248.000000,242.000000,243.000000,217.052307,5158000
2016-08-23,242.500000,245.500000,242.500000,244.000000,217.945526,3854000
2016-08-24,244.000000,245.500000,241.000000,241.000000,215.265869,3420000
2016-08-25,242.000000,244.000000,241.500000,243.000000,217.052307,4837000
2016-08-26,244.500000,245.000000,242.000000,243.500000,217.498917,3444000
2016-08-29,245.000000,245.500000,242.000000,244.500000,218.392151,4245000
2016-08-30,246.500000,249.500000,245.500000,249.500000,222.858246,4230000
2016-08-31,249.500000,251.000000,247.500000,250.000000,223.304855,6161000
2016-09-01,252.000000,252.000000,248.500000,250.500000,223.751465,5590000
2016-09-02,250.000000,251.000000,245.000000,245.000000,218.838745,4130000
2016-09-05,250.000000,257.000000,250.000000,256.500000,229.110779,12917000
2016-09-06,256.500000,256.500000,252.500000,253.500000,226.431137,6943000
2016-09-07,255.000000,260.500000,253.500000,254.000000,226.877731,8711000
2016-09-08,250.500000,253.500000,250.500000,251.000000,224.198074,7615000
2016-09-09,246.500000,247.000000,243.000000,245.000000,218.838745,7954000
2016-09-10,null,null,null,null,null,null
2016-09-12,239.000000,240.000000,237.000000,238.500000,213.032806,5499000
2016-09-13,240.000000,241.000000,237.000000,239.500000,213.926056,4518000
2016-09-14,239.000000,244.000000,239.000000,240.000000,214.372650,6876000
2016-09-19,239.500000,243.000000,239.500000,242.000000,216.159088,8097000
2016-09-20,245.000000,248.000000,243.500000,245.500000,219.285355,9510000
2016-09-21,247.000000,248.500000,245.000000,246.000000,219.731979,6637000
2016-09-22,248.000000,248.500000,244.500000,245.500000,219.285355,4019000
2016-09-23,245.500000,247.000000,245.000000,246.500000,220.178589,3347000
2016-09-26,244.500000,245.000000,243.500000,244.000000,217.945526,4076000
2016-09-27,244.000000,244.000000,244.000000,244.000000,217.945526,0
2016-09-28,244.000000,244.000000,244.000000,244.000000,217.945526,0
2016-09-29,243.000000,245.000000,243.000000,245.000000,218.838745,6015000
2016-09-30,238.000000,241.500000,238.000000,240.500000,214.819275,6825000
2016-10-03,241.000000,243.000000,240.000000,241.000000,215.265869,4515000
2016-10-04,243.000000,244.500000,241.000000,243.000000,217.052307,5241000
2016-10-05,241.500000,248.000000,241.500000,247.000000,220.625183,6979000
2016-10-06,243.000000,244.000000,241.500000,243.500000,217.498917,11331000
2016-10-07,242.000000,242.500000,239.000000,241.000000,215.265869,5810000
2016-10-11,243.000000,243.000000,239.000000,241.000000,215.265869,5989000
2016-10-12,240.000000,240.500000,237.500000,240.000000,214.372650,5399000
2016-10-13,239.000000,239.500000,237.000000,237.500000,212.139603,6782000
2016-10-14,236.500000,238.000000,235.000000,236.500000,211.246368,6505000
2016-10-17,236.500000,241.500000,236.500000,241.000000,215.265869,5843000
2016-10-18,242.000000,242.000000,238.000000,240.000000,214.372650,3835000
2016-10-19,240.000000,241.000000,238.000000,238.000000,212.586212,3336000
2016-10-20,237.000000,240.000000,236.000000,236.000000,210.799774,3790000
2016-10-21,236.000000,238.500000,235.500000,235.500000,210.353165,4276000
2016-10-24,237.000000,239.000000,236.500000,238.000000,212.586212,3235000
2016-10-25,245.000000,245.000000,241.000000,243.000000,217.052307,5873000
2016-10-26,242.500000,242.500000,240.000000,240.500000,214.819275,2860000
2016-10-27,240.500000,242.000000,238.500000,239.000000,213.479431,2098000
2016-10-28,239.000000,239.000000,236.000000,237.500000,212.139603,3400000
2016-10-31,237.000000,241.000000,237.000000,240.000000,214.372650,4409000
2016-11-01,238.500000,239.500000,237.000000,237.500000,212.139603,2866000
2016-11-02,236.500000,238.000000,236.000000,236.500000,211.246368,2761000
2016-11-03,237.500000,238.000000,236.000000,236.500000,211.246368,2720000
2016-11-04,235.000000,236.000000,224.500000,226.000000,201.867599,10539000
2016-11-07,228.000000,232.000000,227.500000,231.000000,206.333679,3873000
2016-11-08,229.000000,229.000000,226.000000,228.000000,203.654037,4212000
2016-11-09,231.000000,231.000000,218.000000,220.500000,196.954880,6929000
2016-11-10,225.000000,227.000000,221.500000,222.000000,198.294724,5381000
2016-11-11,216.000000,217.000000,210.500000,215.000000,192.042175,12770000
2016-11-14,217.000000,219.500000,213.000000,218.500000,195.168442,6339000
2016-11-15,215.000000,217.500000,215.000000,216.000000,192.935379,5243000
2016-11-16,218.500000,219.000000,213.500000,216.000000,192.935379,5163000
2016-11-17,217.000000,222.000000,216.500000,221.500000,197.848099,4248000
